# {"t_start": 1590078250.907591, "env_id": "metak-v0"} 
r,l,t
-4225.140845,5001,122.926851
-12380.37515,5001,244.943037
-14276.612967,5001,377.01027
-9475.486527,5001,503.916272
-7742.992994,5001,638.040993
-8664.525624,5001,765.896619
-6920.620031,5001,904.096298
-5829.641799,5001,1035.649436
-6865.780808,5001,1170.704841
-6584.105724,5001,1314.616562
-5158.031572,3602,1419.538043
-6585.28236,5001,1559.604096
-12781.209247,5001,1710.118459
-11202.355948,5001,1853.898335
-2608.190962,1599,1903.542053
-12989.769977,5001,2051.487126
-5539.332532,5001,2208.487121
-7298.260261,5001,2359.688584
-13328.442075,5001,2525.697857
-14092.286962,5001,2682.203056
-11045.902953,5001,2839.952344
-5117.264153,5001,3010.573179
-2487.538982,1642,3067.080585
-9865.685633,3942,3198.318941
-13859.426478,5001,3363.802496
-14301.65183,5001,3530.854317
-7453.009846,5001,3710.898133
-11899.660468,5001,3885.102089
-12600.980972,5001,4070.684737
-9356.004439,5001,4250.852137
-9726.367659,5001,4441.62079
-9361.821624,5001,4627.352026
-3924.089234,1971,4703.895733
