eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
nan,nan,5172,0.005061665,0.045614243,8.493148,-0.0033849936,262.6406,0.0023742318153381348,1,2048,50.67563229892403,262144
nan,nan,5205,0.0045562694,0.035375975,8.4812765,-0.0026798586,274.92926,0.005481243133544922,2,4096,101.03501603472978,524288
5001.0,-7231.205251640001,5202,0.0033732515,0.017837524,8.483357,-0.0011779667,354.85306,0.003491699695587158,3,6144,151.4278467260301,786432
4982.68,-7208.35051252,5152,0.0026789522,0.010180282,8.464763,-0.0008492276,859.109,0.0006181597709655762,4,8192,202.30787132307887,1048576
5001.0,-10244.4723562,5005,0.0023308187,0.007982254,8.448175,-0.0006192258,831.0319,-0.0020395517349243164,5,10240,254.68500374723226,1310720
4853.53,-9865.13707801,5085,0.002645237,0.008989716,8.438754,-0.0006984591,633.6044,0.0016558170318603516,6,12288,306.23505164310336,1572864
4714.81,-9699.183449560001,4939,0.0021150024,0.006115341,8.426825,-0.0005298695,938.118,0.0004118680953979492,7,14336,359.30610207282007,1835008
4960.67,-10478.802043480002,5031,0.0022442723,0.008323669,8.404432,-0.0007215644,867.9935,0.002896428108215332,8,16384,411.4140717117116,2097152
4759.87,-9848.56766608,4884,0.0022661942,0.009087372,8.383608,-0.00068371755,1122.326,0.0034690499305725098,9,18432,465.08961634803563,2359296
4958.23,-10972.338520699997,4864,0.0024294583,0.0069816587,8.365553,-0.00060021953,907.9367,0.0120735764503479,10,20480,518.9825233602896,2621440
4960.64,-10915.79482456,4896,0.0024408833,0.008226013,8.346026,-0.0004858904,858.1213,0.010154008865356445,11,22528,572.5201471187174,2883584
4942.72,-10763.921712089998,5015,0.0025053478,0.009124374,8.3128605,-0.00062432437,846.82764,0.013998746871948242,12,24576,624.7904332159087,3145728
4951.99,-9346.2277999,4916,0.002448959,0.010720062,8.295684,-0.0008920191,584.9437,0.016848087310791016,13,26624,678.1067883828655,3407872
4855.73,-9279.256284030002,4852,0.0021960961,0.007655716,8.279264,-0.00059893925,741.3163,0.01015162467956543,14,28672,732.1343938698992,3670016
4922.75,-9239.747981999999,4886,0.0023432993,0.008098602,8.257959,-0.00064118655,731.0165,0.015948176383972168,15,30720,785.7866310551763,3932160
4919.95,-9538.69794089,4797,0.002393621,0.009749984,8.229204,-0.00047823446,824.01434,0.01905691623687744,16,32768,840.4316817568615,4194304
4801.23,-9634.95937609,4685,0.0025042589,0.011415863,8.216083,-0.0005203664,960.20197,0.018466532230377197,17,34816,896.3793180696666,4456448
4931.76,-9086.906702080001,4975,0.0023768076,0.009758377,8.218264,-0.0007205021,871.1221,0.024065911769866943,18,36864,949.0667273961008,4718592
4641.07,-8521.677071630002,4554,0.002092917,0.008617019,8.203398,-0.0005299716,745.5743,0.02717733383178711,19,38912,1006.6290471330285,4980736
4820.9,-9225.081274,4725,0.002366534,0.009050369,8.185225,-0.00064416416,762.7003,0.0322115421295166,20,40960,1062.10908645764,5242880
4625.72,-8614.35036855,4585,0.0022157629,0.007408142,8.157189,-0.0006187028,875.1074,0.03583180904388428,21,43008,1119.2820832561702,5505024
4819.89,-9609.87515575,4572,0.0021809964,0.0090057375,8.13029,-0.00064379873,659.93494,0.03431236743927002,22,45056,1176.6197042008862,5767168
4646.87,-8825.96884992,4709,0.002344874,0.011079025,8.10693,-0.00076456857,673.3346,0.031452298164367676,23,47104,1232.2920491052791,6029312
4453.38,-7825.53341531,4503,0.0024978612,0.011406708,8.088147,-0.0007308683,729.39435,0.0374484658241272,24,49152,1290.5012443931773,6291456
4731.53,-8951.125994149997,4578,0.0020142978,0.0069759367,8.070459,-0.00045948476,726.92786,0.03822731971740723,25,51200,1347.7620852002874,6553600
4683.32,-9372.595167460002,4422,0.0024273891,0.011246872,8.052585,-0.0005749289,536.41956,0.05196380615234375,26,53248,1407.0384787535295,6815744
4598.57,-8283.54095234,4499,0.0022921327,0.008702469,8.031349,-0.00039802858,562.2799,0.04800695180892944,27,55296,1465.30462043453,7077888
4692.4,-8493.58351468,4439,0.002303259,0.008971405,8.011746,-0.000615477,759.32227,0.04832714796066284,28,57344,1524.357037669979,7340032
4468.47,-8555.782377570002,4387,0.002536331,0.0111434935,7.9959135,-0.00058294425,834.9095,0.03585284948348999,29,59392,1584.1026304606348,7602176
4598.82,-9187.86680972,4472,0.0021462305,0.009001541,7.982942,-0.00053946127,826.5664,0.043295204639434814,30,61440,1642.7155646244064,7864320
4557.16,-8919.94914298,4321,0.002487432,0.011803055,7.9757676,-0.00061178324,644.16223,0.04354482889175415,31,63488,1703.3797815749422,8126464
4591.92,-8481.3755917,4496,0.0022601164,0.009127426,7.9598665,-0.00065790577,716.92584,0.03094613552093506,32,65536,1761.6818884629756,8388608
4482.82,-8647.28194013,4233,0.0020186107,0.007795334,7.9502974,-0.00047819805,849.54504,0.03144669532775879,33,67584,1823.6108884681016,8650752
4193.09,-8088.26868359,4244,0.0023916455,0.012075806,7.949421,-0.00054890115,618.5582,0.04739123582839966,34,69632,1885.3701023980975,8912896
4215.0,-7699.388989949998,4299,0.0027183057,0.0135356905,7.9193954,-0.0007200751,652.64197,0.05153167247772217,35,71680,1946.3471072651446,9175040
4165.51,-7997.340823180001,4172,0.0022983565,0.007705307,7.88982,-0.00048215903,710.06213,0.053496360778808594,36,73728,2009.1738749844953,9437184
4339.06,-7796.608595550001,4215,0.0022288882,0.009604645,7.8728933,-0.0005624624,735.8367,0.0519903302192688,37,75776,2071.3579023508355,9699328
4374.31,-8502.535851640001,4196,0.0024862322,0.011275482,7.849046,-0.00057194,631.89545,0.04146295785903931,38,77824,2133.8286108290777,9961472
4375.53,-8674.34170449,4200,0.002719194,0.015068436,7.829911,-0.00075636985,677.9429,0.04597640037536621,39,79872,2196.237514450215,10223616
4272.57,-8151.989117340001,4166,0.0020105238,0.0075229644,7.8167443,-0.0006237499,729.8385,0.05719727277755737,40,81920,2259.1516844583675,10485760
4299.81,-8486.60248764,4091,0.0024292157,0.0118049625,7.797038,-0.00058600097,819.9993,0.03769785165786743,41,83968,2323.237866293639,10747904
4401.81,-8596.28257489,4101,0.0024349391,0.011772538,7.780118,-0.00057224266,750.91046,0.03498983383178711,42,86016,2387.1538931196555,11010048
4332.43,-8441.854542969999,4025,0.002342076,0.011449814,7.7596426,-0.0005693104,691.16144,0.04180777072906494,43,88064,2452.286815226078,11272192
4297.16,-8227.3224672,3903,0.0028767884,0.016936874,7.749542,-0.0005624111,765.13367,0.027948379516601562,44,90112,2519.467245266773,11534336
4218.91,-8822.193929330002,4023,0.0029444937,0.017477036,7.7449393,-0.0006905835,1039.4636,0.021600425243377686,45,92160,2584.6994950175285,11796480
4245.4,-8459.32901272,3987,0.0024040206,0.010104751,7.7318916,-0.0003946199,674.923,0.03589153289794922,46,94208,2650.4581543738022,12058624
4023.14,-7666.94363185,4052,0.002645587,0.014034271,7.7106323,-0.00064385484,692.46234,0.02349698543548584,47,96256,2715.16744895,12320768
3912.69,-7319.111334279999,3873,0.0023206912,0.009511566,7.695239,-0.0005579634,597.44104,0.04844123125076294,48,98304,2782.8622374041006,12582912
4168.86,-8132.457134339999,3963,0.0027663484,0.013300705,7.675715,-0.0008338468,629.3366,0.04441344738006592,49,100352,2849.005820953287,12845056
3927.94,-7347.087069049998,3760,0.0025075502,0.01121521,7.653768,-0.0005293131,740.1787,0.03805088996887207,50,102400,2918.725428835489,13107200
3756.71,-7258.28951101,3951,0.0025783775,0.0123847965,7.628231,-0.0005694145,642.50977,0.035087406635284424,51,104448,2985.067926879972,13369344
3853.62,-7314.487340889999,3862,0.0025809132,0.01313591,7.610349,-0.0005074035,894.3563,0.01924842596054077,52,106496,3052.944094144739,13631488
3985.64,-7745.62857959,3775,0.0026366008,0.0141887665,7.6010118,-0.00064512563,622.4227,0.0299299955368042,53,108544,3122.3863468058407,13893632
4229.84,-8010.652487220001,3961,0.0024627382,0.010684585,7.5800653,-0.000572003,813.09296,0.03984123468399048,54,110592,3188.575209927745,14155776
4574.56,-9015.604587000002,3769,0.0024979159,0.012345123,7.552929,-0.000526159,685.49384,0.047670722007751465,55,112640,3258.1395900147036,14417920
4494.71,-8596.003018890002,3820,0.0024821665,0.010808182,7.5248947,-0.00044727055,855.5233,0.030148208141326904,56,114688,3326.755276680924,14680064
4301.04,-8596.54561873,3764,0.002407283,0.011771011,7.515359,-0.00081411033,793.25446,0.0458599328994751,57,116736,3396.4016667166725,14942208
4162.94,-8143.71913097,3711,0.0023747962,0.010351563,7.497462,-0.00051048025,842.6417,0.04461008310317993,58,118784,3467.033275883645,15204352
4464.31,-8822.7643436,3762,0.0027059044,0.013338089,7.46383,-0.0006110637,665.6889,0.06094622611999512,59,120832,3536.7025233674794,15466496
4519.3,-8772.80501931,3636,0.0026663472,0.014397049,7.4451523,-0.0005480517,705.22205,0.045683443546295166,60,122880,3608.814370829612,15728640
4400.12,-7979.349214589997,3646,0.0023962683,0.011200714,7.419986,-0.00048817633,694.85504,0.03967529535293579,61,124928,3680.712743278593,15990784
4071.05,-8081.9886974500005,3608,0.002875895,0.017196655,7.3825197,-0.00050066225,581.4657,0.04671323299407959,62,126976,3753.3629398662597,16252928
3669.67,-7289.664355109999,3529,0.0026997093,0.014921951,7.3549867,-0.00059610914,579.8039,0.05080336332321167,63,129024,3827.6402647104114,16515072
3859.73,-6974.19438848,3727,0.0024195332,0.01095314,7.332467,-0.00055231096,610.4894,0.04925769567489624,64,131072,3897.9796906458214,16777216
4301.47,-7873.333258839999,3526,0.002734989,0.015544891,7.317373,-0.00045171758,562.07385,0.05069851875305176,65,133120,3972.3337059570476,17039360
4069.01,-7443.173718080001,3510,0.0024482147,0.0111866,7.3079376,-0.00045637536,619.4109,0.0629279613494873,66,135168,4047.0149680040777,17301504
3942.22,-7259.486323439999,3615,0.00288742,0.016762923,7.2870393,-0.00038501294,688.3243,0.03727167844772339,67,137216,4119.525425296277,17563648
3993.79,-7772.545548350002,3393,0.002546704,0.012654876,7.269587,-0.0004689681,602.4016,0.052083611488342285,68,139264,4196.81885761302,17825792
3822.81,-7407.189203110001,3484,0.002692496,0.014993286,7.2498755,-0.0005429535,538.1949,0.03345370292663574,69,141312,4272.04837029241,18087936
3977.68,-7705.09621927,3439,0.00275464,0.014452743,7.2250953,-0.00024736184,641.6168,0.04106098413467407,70,143360,4348.269549111836,18350080
4042.78,-7213.0710903399995,3412,0.0029678887,0.017108154,7.2001357,-0.0003386974,665.8481,0.03242594003677368,71,145408,4425.092958075926,18612224
3886.89,-7583.306737850002,3485,0.0030427908,0.01888733,7.175176,-0.00059308315,494.8069,0.03355365991592407,72,147456,4500.320830066688,18874368
3972.52,-7228.545795929997,3338,0.0026321798,0.015516281,7.1787376,-0.00041108634,476.80014,0.038382112979888916,73,149504,4578.844272496179,19136512
3492.69,-6259.58815696,3311,0.0027247558,0.01520958,7.1724005,-0.00038718554,515.9144,0.024918079376220703,74,151552,4658.009960759431,19398656
3328.66,-5597.73450853,3405,0.0030391973,0.01845703,7.1520643,-0.00044813115,513.4252,0.04810827970504761,75,153600,4734.989912709221,19660800
3930.52,-7177.773710719997,3317,0.002453943,0.009877396,7.1353884,-0.0005454351,436.20346,0.04122072458267212,76,155648,4814.008854385465,19922944
