# {"t_start": 1589758022.6849847, "env_id": "metak-v0"} 
r,l,t
-6246.605902,5001,119.666373
-3550.714768,5001,231.791002
-4513.325068,5001,351.546378
-3755.805791,5001,465.894753
-3887.388378,5001,588.344118
-4007.913299,5001,703.958171
-1156.976021,1696,744.587765
-3846.425962,5001,861.033216
-4223.351821,5001,985.774184
-3151.202311,3856,1081.642623
-4787.426382,5001,1200.053584
-3706.708781,5001,1327.521498
-3689.573877,5001,1447.167247
-1697.776673,2255,1501.567357
-1563.88705,2055,1553.62788
-810.839919,1291,1587.808163
-3295.619266,5001,1709.904213
-3990.599318,5001,1840.103745
-7114.863926,5001,1963.454805
-3593.654862,5001,2095.467992
-3407.037786,5001,2219.889062
-4983.058374,5001,2344.985658
-5824.289199,5001,2477.636914
-5194.52727,5001,2602.78602
-5621.186684,5001,2735.912118
-4178.042205,5001,2861.725416
-6386.298194,5001,2995.885467
-6049.600598,5001,3122.713388
-4746.812373,5001,3258.445122
-7840.536036,5001,3391.254637
-4553.04407,5001,3520.82733
-6117.072118,5001,3656.92559
-4929.721215,5001,3785.061364
