eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
nan,nan,5408,0.0030079647,0.011649323,8.472501,-0.00073134433,160.62537,-0.007945418357849121,1,2048,48.471381531096995,262144
nan,nan,5477,0.0024371494,0.006464386,8.444566,-0.0004988709,153.97472,-0.005239129066467285,2,4096,96.32908575423062,524288
5001.0,-5231.86724871,5634,0.002383035,0.0063056946,8.415565,-0.00042514736,139.55746,0.0008286237716674805,3,6144,142.85583272669464,786432
5001.0,-5231.86724871,5469,0.002821031,0.009587097,8.368559,-0.0006351613,120.9032,0.017593979835510254,4,8192,190.7896025320515,1048576
5001.0,-4644.669975070001,5642,0.0020603738,0.0061950684,8.339279,-0.00042589294,95.93504,0.04788631200790405,5,10240,237.24874067679048,1310720
5001.0,-4644.669975070001,5472,0.0028165886,0.011189652,8.321001,-0.00070449273,128.52629,0.022190392017364502,6,12288,285.14872492384166,1572864
4980.34,-4626.894293400001,5498,0.0024863295,0.008770371,8.305462,-0.00050125085,90.09645,0.07774955034255981,7,14336,332.8244631914422,1835008
5001.0,-4558.89125565,5444,0.0021742252,0.00570755,8.290796,-0.00046042888,109.68435,0.09837996959686279,8,16384,380.9781822646037,2097152
5001.0,-4569.316756249999,5444,0.0022183468,0.006983948,8.248619,-0.00041887508,91.13774,0.0653638243675232,9,18432,429.12979173101485,2359296
5001.0,-4405.24676755,5412,0.0024106482,0.008264542,8.210916,-0.00057148427,79.03337,0.1145523190498352,10,20480,477.564734717831,2621440
5001.0,-4405.24676755,5452,0.0026543073,0.010139465,8.176746,-0.00058935897,96.54923,0.06457263231277466,11,22528,525.6414665486664,2883584
4994.38,-4406.59299039,5416,0.0024022672,0.008572769,8.152499,-0.00063961005,66.98064,0.11386710405349731,12,24576,574.0416638497263,3145728
5001.0,-4237.87459803,5397,0.002220805,0.008015442,8.151266,-0.00057385897,104.97839,0.08430320024490356,13,26624,622.615642872639,3407872
4911.46,-4156.27063576,5374,0.0022497943,0.006347275,8.141874,-0.0004945143,85.72228,0.0872620940208435,14,28672,671.3939482243732,3670016
5001.0,-4459.64187563,5451,0.002180649,0.008930969,8.129777,-0.00071406894,97.395546,0.10946816205978394,15,30720,719.4866436384618,3932160
4934.95,-4400.77751989,5373,0.0024413464,0.009876251,8.115968,-0.0006923928,87.70838,0.07981383800506592,16,32768,768.2763611227274,4194304
4916.64,-4359.697825179999,5306,0.0020970847,0.006337738,8.112531,-0.0004932197,88.137955,0.10263252258300781,17,34816,817.6829931242391,4456448
5001.0,-4496.97201437,5347,0.0024895482,0.010725403,8.108652,-0.00068666367,111.20775,0.05343449115753174,18,36864,866.7065540272743,4718592
4974.62,-4491.86831686,5299,0.0017783061,0.0048416136,8.103441,-0.00031984717,78.46446,0.07281327247619629,19,38912,916.173105917871,4980736
5001.0,-4537.9759799799995,5329,0.0025473614,0.009894943,8.094781,-0.0005526195,101.08355,0.07769888639450073,20,40960,965.3618989484385,5242880
5001.0,-4487.63955845,5254,0.0021194569,0.0073505403,8.090239,-0.0005532332,77.369156,0.06969708204269409,21,43008,1015.2585008861497,5505024
5001.0,-4390.90064933,5183,0.0019127965,0.0077358247,8.107441,-0.000498811,77.42714,0.078216552734375,22,45056,1065.8303481396288,5767168
4989.55,-4368.25212027,5318,0.002147539,0.0059055327,8.092909,-0.00039440804,100.12349,0.05571848154067993,23,47104,1115.121604357846,6029312
4987.27,-4283.904980330001,5209,0.0022669462,0.008466339,8.085396,-0.00062522147,75.15714,0.07664626836776733,24,49152,1165.4412462487817,6291456
5001.0,-4479.42732682,5270,0.0020844922,0.0072742463,8.063272,-0.00056447537,99.45409,0.06121551990509033,25,51200,1215.1812681527808,6553600
4976.26,-4392.464409730001,5231,0.0023286748,0.009371186,8.042742,-0.0005503139,75.593,0.05524522066116333,26,53248,1265.2889043409377,6815744
4965.77,-4356.14231612,5118,0.00227105,0.009107972,8.0389385,-0.00058803277,77.251175,0.07357156276702881,27,55296,1316.5104581126943,7077888
4894.22,-4316.116348049999,5311,0.0021244928,0.007126236,8.021273,-0.00034774633,78.51757,0.054190993309020996,28,57344,1365.870030296035,7340032
4841.5,-4202.02594712,5112,0.00222466,0.009147644,8.013512,-0.0006282227,67.744576,0.07717996835708618,29,59392,1417.145187901333,7602176
4971.38,-4210.52212819,5235,0.002336981,0.009060669,8.012962,-0.0005790025,84.74852,0.0531923770904541,30,61440,1467.2190604228526,7864320
4860.11,-4157.875268770001,5138,0.001941427,0.0074783326,8.006625,-0.00050875166,63.43387,0.06703686714172363,31,63488,1518.2397299045697,8126464
4939.7,-4169.50937072,5110,0.002467383,0.009283066,8.000483,-0.00054606877,80.56592,0.062315523624420166,32,65536,1569.542360539548,8388608
4821.24,-4102.3220289500005,5183,0.002240477,0.0084259035,7.971366,-0.00061579916,73.378075,0.045115649700164795,33,67584,1620.1160358823836,8650752
