# {"t_start": 1590100675.1128848, "env_id": "metak-v0"} 
r,l,t
-5932.983545,5001,121.034083
-10221.116542,5001,242.521586
-5233.465515,5001,373.631281
-7445.554753,5001,498.410547
-6423.438347,5001,634.431709
-6027.644404,5001,765.548546
-1908.28626,1310,802.988024
-4282.030548,2092,861.501305
-8715.746358,5001,998.094138
-5880.209413,5001,1146.488556
-12093.60229,5001,1289.32363
-6546.554774,5001,1441.202266
-5993.391634,4493,1574.463022
-8426.702431,5001,1724.176342
-6476.09442,5001,1883.391682
-6712.286427,5001,2039.294693
-5682.941171,5001,2204.318165
-10890.875294,5001,2360.629934
-12379.702044,5001,2531.803336
-831.558071,784,2563.252086
-9686.737124,3581,2692.582944
-1006.207714,1056,2728.319296
-4271.522087,1303,2779.39965
-3359.6909,1811,2844.558487
-9615.023081,5001,3022.11856
-6810.576176,4367,3185.304429
-10949.938523,4976,3384.487401
-1514.158959,1050,3421.858546
-1583.504127,1282,3475.703927
-2505.574175,1265,3520.203669
-766.861492,794,3557.240339
-6455.905954,5001,3759.958318
-1843.215622,1612,3828.005574
-2281.718306,947,3863.673136
-804.446349,695,3898.629226
-504.790317,623,3922.708541
-1394.90169,683,3950.024662
-1359.114333,1033,3998.025971
-967.299319,771,4028.186354
-3357.481526,944,4073.863085
-7030.897375,5001,4292.841477
-1399.622042,736,4330.164829
-6876.675254,5001,4544.131926
-3179.663801,1286,4607.869332
-1014.648475,898,4646.306337
-2063.499143,1045,4700.040287
-1173.332721,752,4733.972121
-4667.838351,976,4778.408703
-2568.322383,1015,4834.163786
-2026.660036,762,4869.215105
-750.839846,773,4913.024077
-807.127174,861,4953.314879
-2876.345532,972,5008.029755
-632.840618,713,5043.071414
-1293.812542,859,5085.819789
-1220.312586,846,5136.316337
-1030.791496,893,5180.359182
-1066.720408,663,5214.249448
-6127.439755,5001,5488.00564
-606.951819,647,5520.971169
-2734.681533,1000,5577.489079
-2996.907553,2344,5707.619617
-1809.814758,889,5754.371357
-1787.031318,834,5808.353936
-2947.302013,898,5859.159929
-794.620118,737,5908.118797
-1030.395621,630,5944.282247
-1273.100356,947,5996.6516
-944.245354,965,6058.899673
-990.285276,999,6114.708162
-12388.020382,5001,6431.346915
-2990.049729,1881,6554.695068
-699.173913,739,6601.245955
-1270.582247,925,6659.315978
-1291.680247,937,6727.519735
-651.22841,765,6776.203734
-1063.389504,1031,6849.974447
-1132.700513,960,6913.208347
-1296.854526,705,6968.553815
-6947.765816,5001,7328.383246
-1249.921613,792,7385.17161
-1466.686333,809,7451.208509
-6033.210194,5001,7836.961001
-2120.235475,736,7900.018062
-549.440906,641,7949.926816
-538.247535,608,7998.51456
-1348.03585,696,8061.471608
-13962.748972,3013,8320.587588
-764.444929,788,8388.903931
-2077.290504,768,8463.908566
-596.036429,546,8512.100789
-3007.844588,850,8588.054123
-718.236821,552,8645.268734
-976.908724,935,8731.25846
-2599.528255,895,8821.650271
-8410.148699,3479,9158.533404
-1212.987114,972,9261.564134
-1410.285871,1061,9367.825766
-3582.021187,1116,9487.976547
-1196.561913,977,9587.768157
-773.529995,775,9676.353537
-1842.640556,1096,9791.730924
-5132.067086,2896,10125.193373
-9050.189314,5001,10726.962944
-9151.513754,5001,11383.790741
-6970.78452,5001,12080.092788
-18905.835855,5001,12834.842505
-5329.2995,5001,13660.95749
-1975.262308,1659,13948.90221
-432.264897,465,14028.781441
-467.779805,403,14098.286183
-1547.177442,683,14217.758211
-4203.301294,2241,14631.961236
-1938.966379,1096,14832.238354
-723.038539,550,14933.819961
-6180.150517,604,15053.601222
-2599.812995,1148,15269.996265
-1267.181669,992,15467.110304
-2762.377619,783,15619.294249
-9404.59283,3959,16431.292109
-1490.294137,903,16620.603543
-1644.573806,644,16763.896987
-408.408262,386,16845.748951
-636.330689,620,16978.652604
-1576.922664,823,17164.154027
-2181.511641,748,17328.098225
-3477.402204,984,17547.535953
-1219.955483,851,17747.062775
-397.702985,346,17825.842907
-334.32591,415,17921.505831
-494.594732,485,18040.861452
-1128.710776,897,18251.764158
-2175.163015,760,18431.62707
-1030.229459,813,18633.354452
-4117.959689,5001,19905.332956
-624.764512,623,20070.206955
-3506.362761,882,20312.341995
-1433.419959,1003,20583.968021
-443.526862,520,20734.251421
-2690.40655,626,20907.692181
-769.918173,752,21117.449643
-11071.323262,5001,22596.823084
-6186.867218,5001,24171.918415
-140.219645,545,24348.476164
-682.778751,749,24600.060747
-435.716378,445,24746.8771
-432.939011,440,24892.640496
-331.991971,375,25018.054712
-341.336262,382,25153.220238
-2812.946955,1113,25529.045334
-6635.129245,5001,27299.653675
-1013.020221,761,27574.317444
-1151.457965,752,27848.230408
-1123.643527,739,28126.688837
-4844.329724,733,28396.701919
-695.505496,678,28650.254931
-1056.146838,848,28977.854379
-1035.325599,721,29252.611154
-1465.609972,838,29582.307568
-1338.972317,837,29906.901477
-3209.372744,785,30214.732174
-441.110005,475,30409.949568
-286.123275,335,30542.923437
-737.971602,745,30840.479455
-686.558221,653,31103.595052
-850.343248,760,31419.624604
-7322.246394,5001,33531.897278
-2759.630021,1329,34117.56433
-1221.851306,830,34483.645401
