eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
nan,nan,5183,0.0074486723,0.09514351,8.493929,-0.004102092,274.513,0.0012445449829101562,1,2048,50.57668485492468,262144
nan,nan,5218,0.0059595346,0.060208894,8.464083,-0.0034390935,281.6375,0.0025295615196228027,2,4096,100.81056794058532,524288
5001.0,-7184.180330820001,5198,0.00404708,0.029014587,8.438969,-0.0012823638,535.1343,9.244680404663086e-05,3,6144,151.2354933945462,786432
4926.13,-7007.267195709999,5179,0.0026508071,0.0101360325,8.423909,-0.0006994157,1419.7045,0.0014840960502624512,4,8192,201.8468242250383,1048576
5001.0,-12099.183448889999,5051,0.0021351257,0.0077720643,8.424146,-0.00062384026,1882.6023,-1.5139579772949219e-05,5,10240,253.74161786213517,1310720
4950.5,-12042.99232665,5119,0.0030074033,0.014135361,8.41031,-0.00079994416,1093.5375,0.0006184577941894531,6,12288,304.9464620091021,1572864
4846.14,-11878.830583660001,5005,0.0021741448,0.008308029,8.405271,-0.00058390497,1675.6674,0.0002384781837463379,7,14336,357.3164126696065,1835008
5001.0,-11270.866464210001,5048,0.0027217432,0.013523484,8.398704,-0.00093417754,1080.538,5.996227264404297e-05,8,16384,409.2485705781728,2097152
4831.65,-11075.74290526,4966,0.0026217655,0.010493088,8.378687,-0.00067332113,1289.5302,0.0002764463424682617,9,18432,462.03300596307963,2359296
5001.0,-10003.253536510001,4933,0.0021238122,0.0072250366,8.361341,-0.0006022519,832.26935,3.3020973205566406e-05,10,20480,515.1734703425318,2621440
4661.85,-9838.49819043,4849,0.0026149596,0.012096787,8.323599,-0.0006909164,1469.9717,0.0008110404014587402,11,22528,569.2288886243477,2883584
4552.15,-9557.257620299999,4905,0.0022033288,0.008587265,8.319456,-0.0006399652,2420.18,0.0018883347511291504,12,24576,622.6657220330089,3145728
4901.64,-11310.66505929,4841,0.002430664,0.01093483,8.320575,-0.0006546845,1753.4799,0.0017340779304504395,13,26624,676.810823386535,3407872
4450.69,-9824.376381290002,4669,0.00256784,0.012215423,8.303935,-0.00068744627,1193.9618,0.002552628517150879,14,28672,732.9523598793894,3670016
4786.57,-10880.958020860002,4766,0.0024568473,0.011459351,8.301359,-0.00065675715,2096.9958,0.0018097162246704102,15,30720,787.9548668274656,3932160
4601.93,-10338.62908461,4604,0.002917643,0.015268708,8.288091,-0.0007611272,1529.515,0.0023910999298095703,16,32768,844.8858755780384,4194304
4286.23,-9586.464140709999,4623,0.0027209027,0.012884903,8.2710285,-0.00075783086,1289.677,0.003162860870361328,17,34816,901.5918581122532,4456448
4569.37,-9859.08445061,4646,0.0026046464,0.0120277405,8.226603,-0.000535553,1874.3239,0.0020813941955566406,18,36864,958.0139681389555,4718592
4120.11,-9464.084549119998,4468,0.002267654,0.010313034,8.20347,-0.00058997725,1279.66,0.0031111836433410645,19,38912,1016.6874228715897,4980736
4287.13,-8323.944191109998,4535,0.0026495955,0.012440872,8.178625,-0.00060845236,1221.9639,0.003939390182495117,20,40960,1074.4949632659554,5242880
4137.11,-8440.07279313,4328,0.0025887121,0.013303757,8.147621,-0.00068535184,1136.7031,0.004797577857971191,21,43008,1135.05690816883,5505024
4033.15,-8909.57839492,4422,0.0025179598,0.010529709,8.109772,-0.0005193098,1800.5557,0.002050042152404785,22,45056,1194.3385548125952,5767168
4006.16,-8612.28920648,4365,0.0028621051,0.014273072,8.078279,-0.00064458145,1234.1428,0.005160272121429443,23,47104,1254.390779829584,6029312
3632.37,-7723.96827437,4364,0.002413225,0.010388946,8.044843,-0.00057277037,1059.7542,0.0067223310470581055,24,49152,1314.4702838463709,6291456
4182.46,-8378.61818647,4442,0.0028856162,0.016737748,8.024385,-0.0006053943,5555.823,0.00101470947265625,25,51200,1373.4888529311866,6553600
4148.42,-8387.74250298,4237,0.002369792,0.0130027775,8.013936,-0.0007921872,1066.4197,0.009649038314819336,26,53248,1435.3530811304227,6815744
4180.41,-8355.45685069,4295,0.0023854345,0.009924698,7.998277,-0.0005098894,1383.9915,0.007413148880004883,27,55296,1496.385508784093,7077888
4005.0,-8180.066982119998,4239,0.0024499956,0.010922241,7.9773684,-0.00054598437,1280.77,0.010321736335754395,28,57344,1558.2255528438836,7340032
3815.51,-8478.020385479998,4197,0.0029246965,0.01807785,7.95933,-0.000858778,1212.8835,0.010379612445831299,29,59392,1620.6778566101566,7602176
3808.54,-7838.483707499999,4224,0.0027558892,0.016230011,7.9429636,-0.00041795458,1859.0967,0.0032171010971069336,30,61440,1682.737415614538,7864320
3791.15,-7692.324053460001,4173,0.0025254565,0.0129676815,7.916761,-0.0007206415,1153.8303,0.008998572826385498,31,63488,1745.5491273682564,8126464
3834.57,-7400.646834540001,4164,0.002680597,0.0148387905,7.9068747,-0.0007286781,1233.3005,0.010794878005981445,32,65536,1808.5053508784622,8388608
4028.79,-7772.835745770001,4070,0.0023748071,0.010380554,7.890171,-0.00081157294,1226.227,0.015356242656707764,33,67584,1872.9108436107635,8650752
3742.39,-7824.82805999,4128,0.002395939,0.011536407,7.86939,-0.000569073,2752.1277,0.006532609462738037,34,69632,1936.4091262947768,8912896
3430.12,-6413.151664069999,3980,0.002314025,0.012719345,7.849261,-0.00045810343,941.28357,0.018334150314331055,35,71680,2002.2789754457772,9175040
3316.39,-6604.49240489,3978,0.003213289,0.022953415,7.833393,-0.00047828018,2261.2666,0.008017480373382568,36,73728,2068.1796961575747,9437184
3123.1,-6794.557253160001,3982,0.002470234,0.011214065,7.8400345,-0.0005389754,1285.6024,0.01277238130569458,37,75776,2134.015531817451,9699328
3491.74,-7233.657482760002,3944,0.002948278,0.01643486,7.8374796,-0.0006035729,3728.2375,0.0035547614097595215,38,77824,2200.4783064341173,9961472
3618.85,-6386.003479979999,4172,0.002442492,0.0122509,7.830987,-0.000664171,1950.6908,0.00653153657913208,39,79872,2263.3145327018574,10223616
3608.85,-7154.278877339999,3929,0.0027437368,0.017147446,7.8191705,-0.00050726754,6228.7827,0.001584172248840332,40,81920,2330.021259509027,10485760
2962.36,-5753.1806845500005,3875,0.0028184862,0.01714325,7.7969255,-0.0003079406,1071.5178,0.01232767105102539,41,83968,2397.6614514021203,10747904
2803.56,-5363.0661071,3654,0.002405615,0.0119251255,7.7848306,-0.00039270445,1877.1765,0.004158198833465576,42,86016,2469.3942869231105,11010048
2365.54,-5022.32558784,3559,0.0027751194,0.0141819,7.77086,-0.00060288236,1209.3684,0.00586390495300293,43,88064,2543.036603881046,11272192
2291.78,-5066.16285905,3725,0.0031523653,0.021269226,7.778627,-0.00073879387,846.4583,0.019018590450286865,44,90112,2613.4094599476084,11534336
2400.23,-4325.2557642,3537,0.0030804498,0.01946335,7.774143,-0.0007230399,669.14996,0.015535712242126465,45,92160,2687.5211824616417,11796480
2074.11,-3912.3362522900006,3449,0.0031105736,0.021369934,7.762708,-0.00073317526,1324.856,0.008688271045684814,46,94208,2763.517125056125,12058624
2029.37,-3868.512520199999,3568,0.0027871274,0.017565917,7.751438,-0.0006715614,808.25977,0.016388356685638428,47,96256,2836.989860523492,12320768
2699.89,-5286.9099953899995,3559,0.0027654057,0.015733719,7.734842,-0.0005836619,926.4292,0.016563892364501953,48,98304,2910.6405863864347,12582912
2982.39,-5271.66793465,3538,0.003167744,0.02160797,7.7322793,-0.0006887188,629.0691,0.013781428337097168,49,100352,2984.740161635913,12845056
2532.8,-4754.656668459999,3467,0.0027281567,0.015452576,7.7132697,-0.00062974804,1060.9982,0.018619775772094727,50,102400,3060.345466981642,13107200
2715.98,-5039.09277947,3340,0.0026955993,0.014617157,7.6902723,-0.00060468225,1092.9624,0.02430504560470581,51,104448,3138.847017567605,13369344
2376.96,-4466.0152948899995,3476,0.002882464,0.017486954,7.670578,-0.0006915997,847.8415,0.026042163372039795,52,106496,3214.2451461348683,13631488
2547.66,-4774.49954891,3260,0.002934179,0.01812706,7.6684494,-0.00062045746,1133.3202,0.013211071491241455,53,108544,3294.6663581319153,13893632
1954.13,-3813.1793200700004,3213,0.0028888122,0.017570496,7.659753,-0.00070850126,1163.8613,0.010846614837646484,54,110592,3376.2602520249784,14155776
1779.75,-3820.3753098,3289,0.002177467,0.009593582,7.6569457,-0.00035909435,1915.1248,0.009372293949127197,55,112640,3455.956584731117,14417920
2548.4,-5237.07519823,3205,0.002746562,0.014715957,7.6505632,-0.0008077055,1197.0365,0.022384583950042725,56,114688,3537.7311066193506,14680064
2103.69,-4594.695053990001,3141,0.0028817647,0.015000152,7.6242037,-0.0005820001,872.3869,0.03136336803436279,57,116736,3621.19460832607,14942208
2265.93,-4259.143336969999,3087,0.0032242555,0.021169662,7.5953193,-0.0005549802,1678.5404,0.009347379207611084,58,118784,3706.1131864367053,15204352
1970.12,-4033.4374113899994,3075,0.0032489535,0.02075386,7.568756,-0.0007033137,1304.379,0.015092313289642334,59,120832,3791.3401229279116,15466496
2327.1,-4860.0055932,3117,0.0032312502,0.02206726,7.547816,-0.0006502834,1744.1536,0.00903928279876709,60,122880,3875.4403369827196,15728640
2221.33,-4388.055311640001,2988,0.0032306917,0.020391846,7.5245905,-0.0005925341,1587.6282,0.012405931949615479,61,124928,3963.155207038857,15990784
2084.87,-4586.576405649999,2965,0.0024875733,0.01351471,7.510247,-0.0003665251,2067.4487,0.013599038124084473,62,126976,4051.558328079991,16252928
1982.53,-3562.92563575,2929,0.003505849,0.024876405,7.4962664,-0.00066096935,1566.5751,0.019500672817230225,63,129024,4141.066242760047,16515072
2106.66,-4360.940702490001,2859,0.0031085103,0.020095825,7.476355,-0.0001641289,1753.7246,0.01328057050704956,64,131072,4232.758035548963,16777216
1910.35,-3702.115457900001,2863,0.0035970784,0.02756958,7.4489374,-0.0005159324,1895.0608,0.013005971908569336,65,133120,4324.292803160846,17039360
2500.74,-5291.786405349999,2977,0.003081537,0.019301224,7.4290442,-0.0005091567,894.4876,0.022682011127471924,66,135168,4412.339660351165,17301504
2670.97,-4914.763795490001,2993,0.003934576,0.03321724,7.403379,-0.00031227805,1367.9084,0.011474072933197021,67,137216,4499.911836024374,17563648
2236.53,-3941.92875224,2750,0.0034490987,0.024864197,7.397612,-0.0008119653,1486.5956,0.009363353252410889,68,139264,4595.208830763586,17825792
1846.77,-4028.51389087,2719,0.0029824525,0.018524552,7.384636,-0.00059860025,1619.9447,0.010255396366119385,69,141312,4691.618382777087,18087936
1530.4,-3209.82632652,2585,0.0030373086,0.018525695,7.3550253,-0.00064525957,1134.4202,0.025310873985290527,70,143360,4793.030113361776,18350080
1667.47,-3272.1182365199998,2551,0.0031102817,0.020129776,7.3218946,-0.000560018,910.35284,0.022241294384002686,71,145408,4895.798095420934,18612224
1599.95,-3116.55042077,2491,0.002870074,0.017386626,7.309478,-0.0007049198,1185.8425,0.023097455501556396,72,147456,5001.019490578212,18874368
1650.42,-3405.5196996299996,2413,0.0034561742,0.02490387,7.2941065,-0.0004476013,1225.6208,0.011588215827941895,73,149504,5109.667095675133,19136512
1672.1,-3695.07555441,2349,0.0031993792,0.022521973,7.285672,-0.00058159797,1623.1522,0.011570096015930176,74,151552,5221.2518005231395,19398656
1489.79,-3161.0126593299997,2356,0.0029993353,0.017552186,7.272846,-0.00027689326,934.42285,0.027252912521362305,75,153600,5332.501569136977,19660800
1901.8,-3700.6546968200005,2391,0.0030765338,0.01857338,7.2380548,-0.0005552865,1067.1843,0.025272786617279053,76,155648,5442.182859229855,19922944
1920.36,-3919.8899072000004,2404,0.0029999935,0.01969986,7.2228494,-0.0004920966,1103.9392,0.026357412338256836,77,157696,5551.2030076067895,20185088
2016.83,-4148.240277450001,2324,0.0033959062,0.02461052,7.1984572,-0.0005643938,1596.4882,0.022714555263519287,78,159744,5663.954990014434,20447232
1523.13,-2895.5675527200005,2244,0.0028253223,0.016057968,7.1810937,-0.00059899705,1742.5564,0.023541688919067383,79,161792,5780.768595338799,20709376
1520.28,-2954.9125642399995,2138,0.002929176,0.019260788,7.179567,-0.00034100848,1796.6058,0.009585857391357422,80,163840,5903.369055611081,20971520
1704.15,-3254.692644479999,2124,0.0031259365,0.021431351,7.173105,-0.0005599953,1015.0156,0.020561397075653076,81,165888,6026.7652132296935,21233664
1725.63,-3419.6772236899997,2135,0.0038949517,0.035409164,7.1706543,-0.00021094312,375417.25,3.1828880310058594e-05,82,167936,6149.544300436974,21495808
