# {"t_start": 1589978594.6049268, "env_id": "metak-v0"} 
r,l,t
-4884.170287,5001,117.629572
-2624.336592,3354,201.655453
-3731.223063,5001,324.092812
-3636.414685,5001,449.442709
-3361.460098,5001,589.264199
-1006.287376,1435,629.457297
-1516.000781,1968,683.922148
-741.60356,1145,712.525549
-746.597964,1077,747.61002
-3160.439694,5001,885.908019
-764.861749,1169,920.605999
-1931.327842,2757,998.990534
-1169.102072,1484,1046.243958
-4518.756807,5001,1196.102887
-679.902291,957,1230.142913
-735.839011,1000,1256.902298
-763.144345,1048,1293.509025
-784.889217,1013,1322.342599
-674.538839,861,1354.41485
-681.267272,903,1381.999979
-401.424956,591,1399.290596
-684.388661,955,1435.191434
-408.312959,591,1451.970486
-376.110731,566,1467.928485
-374.836429,566,1491.846354
-469.309208,705,1511.5027
-654.029409,888,1536.99591
-827.10257,1041,1574.729972
-3013.668175,5001,1736.418815
-584.515014,797,1768.742549
-659.431112,914,1797.292785
-374.959723,582,1815.355118
-649.967594,817,1849.217247
-4836.875536,5001,2025.240983
-1015.657348,1279,2073.199408
-3045.479984,5001,2252.521919
-411.751032,632,2294.563379
-323.386281,465,2311.909205
-465.283467,597,2332.824951
-479.834659,650,2358.015917
-473.684864,629,2391.409981
-433.635798,590,2411.323611
-650.206319,805,2440.266057
-390.373106,568,2469.277243
-412.501423,579,2489.380464
-556.534624,707,2513.341218
-463.037156,624,2541.717258
-3244.891433,5001,2731.318228
-511.879408,699,2756.159868
-397.855911,571,2784.076943
-449.438731,642,2807.153686
-684.448813,844,2836.53539
-482.924487,618,2865.439757
-515.570711,721,2890.074555
-571.382974,763,2923.140368
-289.92758,435,2938.018715
-4179.032324,4517,3116.578449
-306.217025,438,3132.461582
-403.116799,592,3154.763895
-865.857768,978,3197.318537
-815.871267,934,3231.366525
-402.303467,573,3261.848281
-498.610633,655,3287.415826
-454.709633,623,3311.967934
-584.685487,734,3349.568311
-486.528243,629,3372.607059
-324.285182,454,3391.13345
-635.130695,778,3429.433805
-570.441104,701,3455.93131
-553.745755,671,3481.369002
-615.672453,780,3518.155605
-549.707113,693,3543.570638
-515.28599,719,3569.43681
-490.047625,674,3601.663077
-464.265759,667,3625.483792
-640.093666,800,3653.222983
-693.964088,834,3690.019401
-409.851308,583,3712.498209
-291.597878,424,3728.41323
-649.090664,799,3767.084375
-473.254305,634,3793.050745
-527.638981,686,3820.568785
-749.818075,894,3865.020773
-672.653458,811,3897.799961
-644.945053,784,3930.372597
-468.368736,622,3964.392729
-559.161587,682,4006.20675
-234.54236,372,4021.192321
-706.561574,830,4062.088243
-443.477096,581,4086.966107
-405.940316,540,4110.218775
-670.591926,786,4153.095608
-335.298861,480,4173.582745
-370.046254,526,4193.992075
-507.097632,671,4221.718671
-565.403559,717,4258.660194
-324.852894,482,4277.642024
-682.024783,822,4311.970483
-725.989459,861,4353.954675
-477.594198,604,4378.832133
-377.184883,515,4399.63417
-428.932744,550,4430.291589
-487.777737,610,4455.802736
-564.109336,688,4483.86228
-725.879117,844,4526.309511
-392.181392,522,4549.334562
-573.177319,691,4578.480047
-699.551031,829,4619.952165
-246.779552,362,4635.210054
-433.781003,583,4661.342667
-283.397911,417,4679.892109
-220.743448,330,4701.359241
-394.670649,521,4723.279715
-450.962111,598,4748.285307
-637.644269,774,4781.862648
-520.258407,665,4819.14625
-566.496967,689,4849.917668
-380.529462,526,4873.977117
-309.135349,429,4900.628011
-469.401097,602,4926.202445
-573.54176,705,4957.606113
-706.332205,819,5000.411058
-586.509018,719,5032.885471
-732.002202,866,5070.361638
-584.106329,700,5109.5383
-218.256069,330,5123.820651
-449.144273,582,5150.555783
-3012.540093,5001,5396.672945
-368.064404,508,5419.710383
-254.104139,367,5435.780056
-232.916188,352,5452.048839
-797.831979,901,5499.740451
-538.243789,683,5531.27735
-407.61785,522,5556.476438
-2660.065506,3925,5758.807915
