eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
nan,nan,5613,0.006738425,0.07578926,8.491438,-0.003937348,163.57227,0.0033617615699768066,1,2048,46.70072685740888,262144
nan,nan,5549,0.0065989597,0.07553367,8.462283,-0.0063536167,124.31282,0.00912010669708252,2,4096,93.95108432136476,524288
5001.0,-5093.5574999,5536,0.006397222,0.068567656,8.434992,-0.004497195,103.516556,0.006136476993560791,3,6144,141.3003835901618,786432
4185.43,-4014.8997952599993,5134,0.0056696753,0.057875443,8.403772,-0.004138396,66.62721,0.02010178565979004,4,8192,192.35556469112635,1048576
4402.29,-3500.9664158299997,5121,0.003287819,0.023548126,8.407488,-0.001478975,95.74681,0.01558542251586914,5,10240,243.54675478395075,1310720
3819.96,-3031.81026414,5116,0.0040332596,0.027533721,8.396463,-0.0013153566,88.32127,0.017333805561065674,6,12288,294.7847451455891,1572864
2906.35,-2320.37932678,5012,0.0029877634,0.017683411,8.381031,-0.0009552424,121.38265,0.0032919645309448242,7,14336,347.08587853144854,1835008
4112.66,-3403.99776209,5090,0.002679335,0.014194107,8.376192,-0.00073315186,134.1406,0.004483819007873535,8,16384,398.5902660936117,2097152
3788.74,-3050.6063365399996,4772,0.0027910257,0.018792724,8.376633,-0.00067386834,124.67163,0.005292534828186035,9,18432,453.5390502810478,2359296
4069.76,-3353.524561489999,4818,0.0025214946,0.0148796085,8.353647,-0.00066048367,139.49753,0.0033221840858459473,10,20480,507.9542972743511,2621440
3578.17,-2906.7144789,4678,0.0027074032,0.013025666,8.328768,-0.00063062285,123.47255,0.00462651252746582,11,22528,563.9946219697595,2883584
3054.12,-2373.3966906699998,4860,0.003176902,0.02438202,8.309772,-0.0009820801,106.99618,0.004867196083068848,12,24576,617.9430203977972,3145728
3267.14,-2574.20000682,4631,0.0024724007,0.012679672,8.286281,-0.00056076224,104.82689,0.006384849548339844,13,26624,674.5410564756021,3407872
2385.89,-1820.0729004399996,4383,0.003146974,0.019990157,8.249163,-0.0008412902,103.59332,0.004028499126434326,14,28672,734.3501732144505,3670016
2438.92,-1887.8613029399996,4515,0.0025391127,0.011110688,8.217393,-0.000467424,99.97621,0.003423631191253662,15,30720,792.4047217965126,3932160
2264.8,-1710.6299342099999,4523,0.0028821898,0.017451858,8.1719,-0.0005898307,98.71105,0.002919316291809082,16,32768,850.3565439675003,4194304
2704.07,-1997.3774389,4621,0.0036980812,0.027925491,8.137667,-0.0008425914,91.16382,-0.0009593963623046875,17,34816,907.0802228469402,4456448
2749.24,-2010.5619519900001,4495,0.0029173337,0.017477036,8.112386,-0.0007234701,127.8822,-0.0021309852600097656,18,36864,965.3960639536381,4718592
2436.2,-1733.9484327299997,4148,0.0028400575,0.016345596,8.075184,-0.0005566095,114.60075,-0.006061077117919922,19,38912,1028.5955234272406,4980736
2163.25,-1722.9376274599992,4305,0.0031914306,0.020951081,8.040601,-0.00086408976,124.38684,0.0002518892288208008,20,40960,1089.4859638977796,5242880
1791.3,-1360.4011592800002,4224,0.0033552167,0.0221241,8.028532,-0.00078435487,153.86356,0.0012416243553161621,21,43008,1151.5487479418516,5505024
1647.03,-1271.05893883,4049,0.0028258206,0.014525985,8.007365,-0.00051482336,145.1712,0.005230605602264404,22,45056,1216.2800832167268,5767168
1802.53,-1297.5021890899998,4137,0.0032681474,0.020065308,7.959863,-0.00073548144,136.826,0.0029227137565612793,23,47104,1279.6458241688088,6029312
1720.52,-1293.1463759,3992,0.0036025238,0.026055908,7.9158645,-0.00081990036,120.545815,0.0035634636878967285,24,49152,1345.3156303884462,6291456
1266.11,-1053.64652416,3806,0.003353414,0.020584106,7.896074,-0.0006592969,110.38652,0.011725902557373047,25,51200,1414.1799242487177,6553600
1497.91,-1119.63153548,3962,0.0032412882,0.023976516,7.8739815,-0.00057087495,97.17306,0.009474098682403564,26,53248,1480.3371825031936,6815744
1705.28,-1271.4962521500001,3997,0.003833149,0.030047989,7.8575172,-0.0011450609,96.989365,-0.003851652145385742,27,55296,1545.9155488424003,7077888
1703.81,-1265.6590134400003,3935,0.003218292,0.021336745,7.848048,-0.00050220644,116.4828,0.008892714977264404,28,57344,1612.522179191932,7340032
1357.46,-984.91748955,3927,0.0035983112,0.027556991,7.8179994,-0.0004946481,97.00045,0.01346510648727417,29,59392,1679.27034159936,7602176
1700.57,-1260.4665543899998,3765,0.002959621,0.01974907,7.7902665,-0.0005921917,104.860306,0.017320871353149414,30,61440,1748.8962109014392,7864320
1110.11,-774.56219611,3613,0.0028562455,0.01635475,7.768523,-0.00045951566,119.1813,0.017745912075042725,31,63488,1821.4479428362101,8126464
1192.82,-946.33742376,3685,0.0029228933,0.019511795,7.750367,-0.00068487704,122.547226,0.02373605966567993,32,65536,1892.5837958054617,8388608
987.05,-740.10341788,3490,0.00301278,0.018684387,7.7357507,-0.00053022953,114.03856,0.021164536476135254,33,67584,1967.6903224596754,8650752
1093.61,-837.48513729,3595,0.0029031767,0.01667137,7.704512,-0.00035073305,100.79161,0.03529995679855347,34,69632,2040.6039316952229,8912896
1214.06,-978.5183613500001,3575,0.0032199256,0.02289505,7.6849427,-0.00061914366,98.16751,0.03021550178527832,35,71680,2113.9307424565777,9175040
971.3,-714.09178386,3513,0.0032882423,0.022871781,7.6661897,-0.00047127454,98.893166,0.02994924783706665,36,73728,2188.552530648187,9437184
1070.32,-849.00247485,3178,0.0027064607,0.014794159,7.651198,-0.00043173754,100.44472,0.018212556838989258,37,75776,2271.0347974877805,9699328
909.64,-723.05790149,2934,0.0029267122,0.017064666,7.652565,-0.00052101107,104.19895,0.02746337652206421,38,77824,2361.581271888688,9961472
913.8,-712.0863920999999,3218,0.0030819054,0.019627761,7.639862,-0.00048506804,102.0782,0.028759658336639404,39,79872,2443.077612666413,10223616
1009.9,-765.8229599800002,3257,0.0033830113,0.024251556,7.6101294,-0.00065528107,95.57261,0.03891104459762573,40,81920,2523.5563799766824,10485760
977.26,-753.4088622699998,3314,0.0033483568,0.022696305,7.5789976,-0.0007630536,102.18212,0.034170329570770264,41,83968,2602.6683772867545,10747904
1105.59,-883.5819906599999,3412,0.0034212016,0.02389946,7.539183,-0.0006698613,92.86076,0.03582829236984253,42,86016,2679.643734811805,11010048
800.26,-592.50916908,3260,0.0031353596,0.019327164,7.5169654,-0.0003726908,135.8065,0.05238550901412964,43,88064,2760.059261612594,11272192
967.67,-741.3941095700002,3298,0.0029889604,0.018413544,7.5049944,-0.00041849873,103.26526,0.05165243148803711,44,90112,2839.5392752550542,11534336
987.31,-755.81207968,3400,0.0033284638,0.022262955,7.4769926,-0.0003335511,103.33384,0.05615544319152832,45,92160,2916.6343087656423,11796480
1102.77,-832.45785434,3330,0.0041610375,0.03621788,7.4535546,-0.00069696154,109.74031,0.04996305704116821,46,94208,2995.3567426567897,12058624
1038.95,-742.7565930399999,3164,0.0029456853,0.01764145,7.4241037,-0.0005330292,114.37876,0.05830186605453491,47,96256,3078.2231538407505,12320768
782.6,-624.88311647,3204,0.0029212267,0.015937805,7.386837,-0.00038850677,111.97954,0.055834412574768066,48,98304,3160.0386784384027,12582912
849.02,-659.5626636599998,3170,0.003180657,0.02165718,7.354432,-0.0005575003,111.336685,0.0584641695022583,49,100352,3242.7525472659618,12845056
1036.19,-842.33068355,2877,0.0029458632,0.019278716,7.318094,-0.00039632007,97.61074,0.061415910720825195,50,102400,3334.0478964187205,13107200
830.59,-669.11440305,3014,0.0036385772,0.025957871,7.2745423,-0.00045903126,86.25672,0.05368936061859131,51,104448,3421.0767996441573,13369344
932.94,-730.8174025300001,3094,0.0033351127,0.023360824,7.2527323,-0.00036424835,91.36226,0.048895299434661865,52,106496,3505.9345724647865,13631488
1146.98,-888.5427703199999,3186,0.003552967,0.025757218,7.245579,-0.00046453002,93.063065,0.060044944286346436,53,108544,3588.2120473515242,13893632
1013.84,-751.93031493,3312,0.0034853364,0.025926972,7.2223577,-0.0005840561,101.76119,0.06775319576263428,54,110592,3667.3669380368665,14155776
1170.18,-818.5812139,3089,0.0035078316,0.026312256,7.207156,-0.0004082426,111.69557,0.059969544410705566,55,112640,3752.226822123863,14417920
779.17,-604.7598605200001,2879,0.002843429,0.01687622,7.1765823,-0.00054137514,83.916275,0.06804627180099487,56,114688,3843.2863493505865,14680064
838.18,-671.1349551800001,2875,0.0034032557,0.024236297,7.1437683,-0.00030475858,76.56948,0.07359105348587036,57,116736,3934.4736338155344,14942208
723.3,-558.02984342,2482,0.003817883,0.028418731,7.1186304,-0.00029365544,77.25312,0.07710963487625122,58,118784,4040.093517431058,15204352
834.17,-650.5007797400001,2727,0.0036941778,0.028646087,7.0854187,-0.0002999042,70.258354,0.08392143249511719,59,120832,4136.23234446533,15466496
873.08,-651.0435588099999,2814,0.0038900287,0.031245042,7.0668745,-0.00042391178,77.23207,0.09062212705612183,60,122880,4229.456959334202,15728640
773.3,-599.63275898,2918,0.003334418,0.023069764,7.033145,-0.00061872986,73.95831,0.0857323408126831,61,124928,4319.301396960393,15990784
811.16,-642.71752738,2874,0.0038806628,0.029268265,6.9921737,-0.00070141954,73.463806,0.09663009643554688,62,126976,4410.529290916398,16252928
655.77,-504.83050779999996,2864,0.003054335,0.02026558,6.974192,-0.0005031683,76.17766,0.08768272399902344,63,129024,4502.04654109478,16515072
801.24,-623.20433214,2772,0.0032192245,0.021317292,6.965239,-0.0005067729,87.69102,0.07534050941467285,64,131072,4596.605885669589,16777216
811.39,-607.7210099700001,2738,0.0034553565,0.023713684,6.937295,-0.00053484977,84.86864,0.08342480659484863,65,133120,4692.349171968177,17039360
807.47,-645.5815095,2756,0.00326274,0.02180481,6.9062614,-0.0006238528,71.879005,0.0767245888710022,66,135168,4787.474126599729,17301504
900.48,-741.2329805699999,2618,0.003872763,0.030553054,6.8731217,-0.00036299962,68.32085,0.10589426755905151,67,137216,4887.791288111359,17563648
668.18,-515.82007449,2718,0.0034808214,0.025870513,6.8377013,-0.00034092186,72.60002,0.08353924751281738,68,139264,4984.265543443151,17825792
778.76,-571.77434411,2708,0.0029751235,0.017324066,6.806646,-0.0005041116,70.891945,0.11366403102874756,69,141312,5081.074150693603,18087936
