# {"t_start": 1590063811.2713616, "env_id": "metak-v0"} 
r,l,t
-6537.535176,4480,121.304629
-2036.579471,5001,309.424805
-6583.678467,5001,500.657539
-2133.597924,5001,753.417367
1075.453798,2658,882.133615
-4624.605318,5001,1130.900666
-5510.819754,5001,1416.560609
-1908.854247,5001,1742.439172
-4129.35654,5001,2015.179554
-5463.808991,3517,2232.513623
832.412482,3127,2440.285197
-2929.034938,2613,2581.840494
-2513.549693,1287,2669.025568
-1966.861599,5001,3008.030606
-2846.531904,2295,3177.929809
-4660.596112,5001,3464.888927
-3193.334348,5001,3774.045939
-2154.430444,569,3806.237288
-2320.723463,5001,4122.397117
-3653.186098,4158,4377.264318
-6216.846066,5001,4641.948173
-2914.116222,1523,4750.953383
-2736.065979,5001,5016.040101
-4000.781537,5001,5317.461611
-3285.959111,3356,5542.253678
-3873.992292,2924,5728.600425
-6218.283932,5001,6030.623164
-4264.339256,5001,6345.032115
972.353726,1117,6442.216834
-7462.040627,5001,6795.557424
-3919.050503,2730,6998.435173
-602.410794,3665,7252.404434
1781.266859,611,7294.92407
236.165617,1802,7399.560818
356.206885,1507,7503.603288
-5377.628233,5001,7882.704318
1601.729505,981,7977.901836
1643.4936,783,8078.176668
715.3268,1265,8194.85787
1567.598269,628,8244.685509
1350.575853,1070,8324.192281
642.31106,1471,8444.702304
593.656306,3135,8720.487828
1686.568673,412,8759.836552
-1084.230805,38,8763.595498
-3005.040898,2898,9061.718944
-1626.074856,428,9107.596037
1373.013584,785,9203.606721
-1834.169625,1289,9358.005631
1723.523427,510,9414.500429
-1570.474553,313,9454.012858
1428.488487,1050,9559.660432
1433.713431,957,9668.504053
-3041.879576,2223,9894.117824
1317.420235,908,10006.440061
