eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
nan,nan,5152,0.0046327948,0.038071442,8.500425,-0.002253746,88.92799,0.001573324203491211,1,2048,50.873528303578496,262144
nan,nan,5195,0.004521046,0.03411789,8.472041,-0.0025533806,93.01171,0.006064355373382568,2,4096,101.32911664620042,524288
4961.97,-3905.86339125,3991,0.0036423174,0.024661254,8.46023,-0.0009821588,225.08928,0.0010030865669250488,3,6144,167.00534222926944,786432
4316.67,-3766.6640089599996,2737,0.0031701636,0.01754799,8.462034,-0.00046890034,697.6602,0.00045931339263916016,4,8192,262.7729763928801,1048576
4876.13,-4294.97741551,3563,0.0022668527,0.007970428,8.449335,-0.0003135216,746.4533,-0.0005692243576049805,5,10240,336.340677135624,1310720
4660.64,-4230.35227179,3567,0.0034867246,0.023366546,8.399502,-0.00092205324,490.20303,0.002368450164794922,6,12288,409.8250358738005,1572864
4243.86,-3860.9174373499995,3201,0.002715609,0.011017228,8.376345,-0.00038866242,943.6709,0.0007717013359069824,7,14336,491.71821588557214,1835008
4188.36,-3952.194229,2515,0.003397879,0.022559738,8.362456,-0.00070996035,939.9744,0.0004372596740722656,8,16384,595.9206510707736,2097152
3694.86,-3599.0130983,2684,0.0026938813,0.012966919,8.342482,-0.0003031474,920.52264,0.0015101432800292969,9,18432,693.5733375167474,2359296
4018.44,-3446.9662778299994,2426,0.0032749958,0.02190628,8.338372,-0.0005135061,1211.9906,0.0007641911506652832,10,20480,801.6323605496436,2621440
4067.72,-3506.7560348900006,2667,0.0034963177,0.023987198,8.333675,-0.00060757285,795.3595,-0.0003834962844848633,11,22528,899.9025474172086,2883584
3945.89,-3667.2008089499996,2709,0.0030010429,0.018909836,8.317257,-0.0005624382,739.1808,-0.002240896224975586,12,24576,996.6730898031965,3145728
4064.85,-3694.25045689,2472,0.0024845111,0.010377121,8.316647,-0.00032096688,1031.5178,0.0006465315818786621,13,26624,1102.7083726460114,3407872
3680.91,-3619.1441882799995,2605,0.0032343944,0.021500397,8.313657,-0.00038991094,871.7004,0.0032733678817749023,14,28672,1203.3074586084113,3670016
3615.35,-3136.574840720001,2230,0.0029969045,0.017736817,8.315003,-0.00048369128,1310.867,0.0013766288757324219,15,30720,1320.8365342337638,3932160
3041.9,-2856.4727761699996,2001,0.002887284,0.014334488,8.316735,-0.00037766408,1562.5452,0.000680387020111084,16,32768,1451.7848675511777,4194304
3071.55,-3014.0405807899997,1689,0.0028324283,0.014816284,8.308068,-0.0005933419,1254.7014,0.0004703402519226074,17,34816,1606.9508230891079,4456448
3491.47,-3260.19945389,2294,0.0031555581,0.015972901,8.296491,-0.00059064606,1055.7256,0.0015960931777954102,18,36864,1721.1962913330644,4718592
3441.77,-3206.2621508999996,2216,0.0034021232,0.021609496,8.2809305,-0.0006118071,1363.2065,0.00023561716079711914,19,38912,1839.4723494304344,4980736
3725.04,-3651.08397139,2393,0.0034470581,0.028050995,8.269491,-0.00070539216,979.1829,-1.9550323486328125e-05,20,40960,1949.0054917614907,5242880
3681.57,-3091.59957666,2220,0.0026844644,0.012513352,8.2649145,-0.0003776747,1571.205,0.0006974339485168457,21,43008,2067.074619640596,5505024
3021.81,-2569.45169317,2058,0.0025886686,0.015119171,8.259122,-0.00045376405,1841.8346,0.00019890069961547852,22,45056,2194.433343286626,5767168
3293.95,-3108.2852790300008,1732,0.0032253459,0.022885513,8.251756,-0.0006151056,1321.2703,0.0010609626770019531,23,47104,2345.7372386762872,6029312
3266.82,-3209.2193674299992,2426,0.003882608,0.033636857,8.239653,-0.000414905,1046.7368,0.0012489557266235352,24,49152,2453.781791470945,6291456
3770.87,-3484.9508097000007,2237,0.004589893,0.04188385,8.185453,-0.0005441227,773.2288,-0.00042748451232910156,25,51200,2570.9466303540394,6553600
3496.4,-3116.0236331399997,1900,0.0028205249,0.015508652,8.158179,-0.0004586052,1422.9553,1.1920928955078125e-05,26,53248,2708.880692235194,6815744
3126.67,-3048.82429268,1896,0.0028399776,0.018194199,8.149412,-0.00055707915,1547.0228,-0.0010911226272583008,27,55296,2847.105366737582,7077888
3234.01,-2897.15342499,1909,0.003465309,0.025135422,8.138179,-0.00056020136,1584.3055,0.000507652759552002,28,57344,2984.373935501091,7340032
2869.79,-2763.6723244,1622,0.0033707446,0.022739792,8.122206,-0.00077324745,1680.5208,0.00022286176681518555,29,59392,3145.960755814798,7602176
3113.16,-2915.9121026999997,2575,0.0028331974,0.017251968,8.103783,-0.00038452577,1245.1998,0.001536548137664795,30,61440,3247.762132192962,7864320
3568.77,-3106.92583401,1971,0.0036495521,0.02742424,8.08983,-0.00065025425,1271.1018,-8.857250213623047e-05,31,63488,3380.701291209087,8126464
3463.77,-2843.2686047800007,2171,0.0037844833,0.032286834,8.072462,-0.0005640884,1504.715,0.00015091896057128906,32,65536,3501.41946673207,8388608
3227.15,-3026.7853802699997,2040,0.0045654546,0.04410286,8.055864,-0.00057460053,1291.3662,-4.4345855712890625e-05,33,67584,3629.897711465135,8650752
3388.68,-3101.46525495,2135,0.003738318,0.03133278,8.049959,-0.0004371957,967.6857,0.001381993293762207,34,69632,3752.6327334977686,8912896
3542.42,-3210.0745543700004,2257,0.003111211,0.022463227,8.056695,-0.00036861398,904.86584,0.0019559860229492188,35,71680,3868.745368494652,9175040
3296.14,-2790.05027083,1954,0.0041415896,0.033639144,8.040264,-0.0006042557,1269.0256,0.001251816749572754,36,73728,4002.8681168351322,9437184
2923.82,-2578.1927792500005,1950,0.0034425608,0.023258973,8.0254965,-0.00051992474,1510.661,0.0009841322898864746,37,75776,4137.267310772091,9699328
3245.81,-3018.30105219,1832,0.004241489,0.04117317,8.000646,-0.0004687902,1097.6251,-0.00011026859283447266,38,77824,4280.352092785761,9961472
3780.82,-3190.17621162,2478,0.0034868505,0.02413559,7.9578705,-0.00037858676,743.46515,0.0008404850959777832,39,79872,4386.117199756205,10223616
3823.32,-3025.93388032,2243,0.0033751496,0.02175789,7.92599,-0.00053975615,965.1419,-0.0005186796188354492,40,81920,4502.976481237449,10485760
3704.81,-2935.26796993,2538,0.004142076,0.036830522,7.8890443,-0.0006263254,1223.5085,0.001133561134338379,41,83968,4606.285600564443,10747904
3749.94,-2954.2033001099994,2072,0.0044966806,0.04187622,7.8505006,-0.0006537081,918.2489,0.0006004571914672852,42,86016,4732.773314151913,11010048
3551.98,-2733.1917467599997,2544,0.003834594,0.029397964,7.8198013,-0.00046900628,787.5932,0.0016902685165405273,43,88064,4835.792177865282,11272192
3780.32,-3075.4029398800003,2393,0.004549886,0.041513823,7.7794657,-0.00060029444,690.91614,0.0029747486114501953,44,90112,4945.328601937741,11534336
3664.21,-3208.46790577,2174,0.0038951687,0.032521438,7.763701,-0.00062569365,767.5671,0.001910567283630371,45,92160,5065.920889865607,11796480
3625.26,-3061.749746859999,2063,0.0036345962,0.025709152,7.762233,-0.000549222,1007.89856,0.0027400851249694824,46,94208,5192.971303273924,12058624
3160.33,-2553.3031455900004,2024,0.0037501664,0.028789902,7.752898,-0.0008330455,1754.652,0.001359701156616211,47,96256,5322.472030580044,12320768
2970.55,-2329.60653455,1923,0.0027124267,0.01452446,7.7284455,-0.00038303348,2012.3289,0.0020475387573242188,48,98304,5458.75510948617,12582912
3120.59,-2568.92981056,2008,0.0037144162,0.03240013,7.7014494,-0.00068385643,1695.9854,0.0018439888954162598,49,100352,5589.2852178430185,12845056
3347.77,-2858.53057402,2082,0.0037545688,0.031721115,7.675607,-0.00047303812,1197.6589,0.0021674633026123047,50,102400,5715.204766421579,13107200
3196.91,-2385.2640038500003,1983,0.003414688,0.025107574,7.6678476,-0.0006682457,1679.5847,0.0019825100898742676,51,104448,5847.352705664001,13369344
3009.17,-2241.5739950499997,2041,0.0034853325,0.027587509,7.6589484,-0.00056636997,2095.7803,0.0021671056747436523,52,106496,5975.802038989961,13631488
3211.25,-2173.23874792,2268,0.0044371076,0.042160798,7.6289444,-0.00071670127,1653.7659,0.0023058652877807617,53,108544,6091.395038205199,13893632
3218.09,-2302.71657971,2168,0.0042803856,0.037448503,7.586133,-0.0007667915,1583.8723,0.0033850669860839844,54,110592,6212.295486097224,14155776
2910.14,-2097.24264193,1833,0.004442231,0.04157982,7.5549445,-0.00084098784,2435.9136,0.0011616349220275879,55,112640,6355.272634088993,14417920
2445.88,-1936.8814278499997,1542,0.003486182,0.028020859,7.5422974,-0.0005383247,2501.2957,0.0027202963829040527,56,114688,6525.218698819168,14680064
3048.0,-2557.5263989299997,1822,0.0041697626,0.036384203,7.533367,-0.00074431824,1909.1599,0.0029203295707702637,57,116736,6669.08528412506,14942208
2636.67,-2008.2513087099996,1839,0.0037663598,0.033298112,7.5286613,-0.00072264933,2665.3745,0.0028086304664611816,58,118784,6811.609221038409,15204352
2862.07,-1977.8731643499998,1837,0.0040855207,0.034462355,7.5179534,-0.00082241494,2866.23,0.0025060176849365234,59,120832,6954.291283399798,15466496
