# {"t_start": 1589750778.4031155, "env_id": "metak-v0"} 
r,l,t
-2376.375967,5001,118.270789
-1113.427018,2537,177.119716
-2391.014898,5001,302.536379
-2263.896896,5001,422.370107
-2279.800123,5001,550.51521
-738.34656,1642,588.931518
-1039.459895,2265,651.825573
-549.464086,1191,691.442379
-588.899876,1274,732.365989
-2142.353988,4669,870.963187
-556.711067,1203,905.663846
-428.408185,934,939.85475
-695.199464,1511,990.174404
-385.594123,836,1013.848404
-832.429441,1816,1072.183718
-488.011906,1058,1101.721279
-470.800899,1020,1141.321183
-462.677848,1004,1172.106884
-368.572198,800,1204.42621
-384.773705,836,1231.192966
-264.78405,573,1257.490498
-347.350616,751,1280.353618
-407.041439,881,1307.342976
-351.069743,762,1338.063299
-322.755002,697,1359.232993
-405.648603,875,1385.002451
-471.521168,1022,1424.424572
-303.774784,658,1445.478101
-639.165196,1393,1497.912555
-1602.522086,3500,1622.496944
-799.893673,1745,1684.83587
-318.539291,689,1707.163887
-468.026892,1016,1740.518198
-395.967628,855,1776.290028
-428.668209,929,1806.835623
-427.93718,926,1845.936149
-269.415355,581,1864.563873
-354.980024,770,1890.279526
-401.15296,870,1927.171162
-261.595893,565,1945.450127
-2301.190431,5001,2139.525015
-2297.360877,5001,2325.875993
-1701.747302,3742,2469.761326
-1609.952333,3528,2621.373404
-2299.008873,5001,2815.919072
-2392.214386,5001,3017.549319
-2304.416415,5001,3228.048563
-913.667311,2127,3313.846401
-317.726468,688,3339.227487
-275.862837,594,3361.32906
-191.379897,416,3385.281819
-269.462597,584,3406.74052
-338.379254,732,3433.978572
-220.410528,476,3458.18593
-219.682735,478,3476.460059
-375.440239,814,3505.960296
-409.863098,890,3546.660098
-242.393126,522,3566.926791
-239.726296,517,3586.255896
-319.712174,690,3612.389929
-222.280737,478,3638.419941
-347.587043,756,3667.038839
-197.726534,428,3683.178851
-360.429031,789,3719.425405
-290.611093,631,3741.415125
-237.887727,516,3760.575057
-393.911299,861,3799.437718
-347.252441,751,3826.868696
-391.931148,852,3857.224686
-252.596013,543,3885.16186
-325.799003,704,3910.921913
-237.151104,511,3929.514024
-298.251962,650,3960.508692
-766.505342,1660,4021.925277
-330.52009,717,4057.948027
-260.718559,562,4079.43405
-242.225407,526,4098.792055
-339.862116,738,4133.878033
-260.719198,564,4155.527722
-307.544222,670,4181.027644
-262.528132,572,4211.627587
-241.968347,528,4231.639322
-273.007329,598,4255.390391
-279.94907,607,4279.010148
-260.60889,567,4307.765813
-308.10031,669,4333.748158
-413.528713,903,4369.380787
-325.601132,704,4405.167849
-248.244166,535,4427.832168
-2322.871528,5001,4648.828834
-285.677991,672,4684.73288
-343.452126,749,4716.574903
-277.608555,605,4740.923738
-171.349408,373,4764.568144
-392.940368,854,4800.084295
-304.192293,665,4828.394439
-241.622795,521,4857.684115
-241.493139,524,4879.256576
-234.877331,509,4900.82618
-309.477719,671,4929.851858
-529.066685,1153,4986.395819
-286.407236,624,5012.468832
-2242.535433,5001,5243.856563
-163.588396,367,5259.418284
-226.205941,485,5280.376361
-228.914811,496,5300.484271
-224.653694,484,5329.285224
-327.305277,713,5359.931297
-340.666158,747,5393.210616
-252.010227,548,5423.409467
-193.553702,417,5441.046973
-168.2273,361,5456.689201
-287.131901,621,5482.96472
-399.566363,872,5527.9737
-399.484134,873,5567.209702
-368.480741,803,5609.390868
-310.324514,677,5639.866094
-1190.976397,2592,5764.618913
