# {"t_start": 1590156304.7656333, "env_id": "metak-v0"} 
r,l,t
-20329.185367,5001,137.709521
-24056.391826,5001,275.388259
-31032.88425,5001,421.79608
-11331.048887,5001,564.492615
-27310.284805,5001,717.604242
-28893.294617,5001,862.838514
-41134.856027,5001,1019.086769
-15261.734928,5001,1168.86727
-2498.364402,2479,1243.546159
-6247.234402,5001,1403.894704
-21182.202152,5001,1559.720629
-1753.642408,1559,1611.979036
-26615.540431,5001,1770.705584
-4739.128343,5001,1938.956282
-12711.732028,5001,2100.957945
-5034.274233,5001,2272.568964
-33581.525079,5001,2439.905823
-2754.955542,2407,2521.096404
-5640.721266,5001,2698.595864
-28820.423707,5001,2868.420567
-1004.385198,1157,2912.698793
-7642.94623,3326,3027.76046
-35853.520031,5001,3215.78027
-14853.051932,4531,3384.023012
-36120.972426,5001,3571.715227
-1478.125126,920,3612.161004
-24698.263362,5001,3807.001254
-9690.341173,1710,3877.740024
-4074.018797,1442,3938.841718
-1137.118108,1174,3982.059898
-10305.27057,5001,4195.024489
-11351.263984,3961,4357.061602
-11914.231877,5001,4557.701524
-8022.074122,5001,4771.205088
-10298.73567,3109,4899.817385
-6502.256508,2066,4989.300785
-1340.260501,900,5032.594331
-6447.864044,2632,5151.204771
-8618.521603,1643,5235.036194
-7051.599374,1653,5314.381465
-11741.718045,1820,5392.743205
-10996.420218,2128,5494.082882
-6216.660515,1445,5565.547582
-4516.819194,1120,5623.167594
-962.381652,803,5660.151917
-2313.680933,1210,5723.910985
-1967.025535,1561,5794.774202
-14254.919153,2416,5919.997992
-9568.977735,5001,6162.582901
-7445.109057,1458,6238.469845
-5270.227415,3066,6390.296389
-911.958108,1041,6450.389442
-29597.602889,5001,6720.378115
-10613.640502,1820,6832.042328
-4368.199674,5001,7122.316222
-28374.536411,5001,7405.842522
-20303.432988,3936,7640.189527
-20157.069402,3769,7868.333006
-3617.275126,1599,7969.220414
-16009.86879,5001,8267.421062
-1718.037096,1267,8346.987501
-28776.801442,4492,8626.459906
-18481.226298,5001,8946.770492
-6443.09697,5001,9280.013622
-9646.647732,5001,9627.77309
-910.673256,972,9702.668781
-5924.896678,1190,9785.121948
-2276.445092,967,9860.314062
-8830.62403,1652,9984.722768
-26584.170408,5001,10366.182099
-18828.953532,5001,10760.692736
-17193.29584,5001,11186.839243
-31731.981339,5001,11620.39514
-10349.242927,5001,12083.588469
-1905.425651,721,12149.292365
-1847.737448,1060,12256.75698
-4879.750787,1246,12376.006962
-779.382711,742,12455.834264
-1298.941567,789,12533.120344
-3941.803296,770,12608.967406
-602.675039,599,12676.290922
-1074.566265,964,12774.157948
-3669.865079,974,12881.600445
-1463.519554,994,12983.456511
-3092.79019,930,13080.864652
-1764.015355,866,13179.824975
-17272.623263,5001,13736.082841
-1166.715528,656,13817.222371
-1389.851569,786,13903.990172
-2982.810483,795,13992.22813
-1688.080001,784,14087.744405
-4231.816438,1318,14237.618578
-2791.396116,1559,14425.586555
-1205.940826,932,14541.632962
-2049.889854,936,14652.418972
-4003.713607,1015,14780.975495
-2822.129192,868,14885.26221
-5668.533821,1345,15055.652999
-31549.525005,5001,15698.151812
-3773.951577,1172,15858.382549
-20876.174499,5001,16552.514591
-452.61,503,16622.932261
-3823.894783,1007,16773.81151
-950.019627,834,16893.398968
-1424.509872,746,17006.881309
-1721.699986,784,17121.211317
-2048.237175,1229,17309.305262
-1175.969655,478,17379.8042
-923.319464,740,17490.829014
-1441.536549,903,17635.266026
-830.038112,754,17750.268491
-8085.120777,1435,17979.158811
-787.261189,607,18073.601525
-1693.402555,672,18178.670764
-8012.81451,5001,19011.675615
