eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
nan,nan,4557,0.0069963806,0.08127441,8.486993,-0.0038127613,293.16315,-0.0002205371856689453,1,2048,57.52194750215858,262144
nan,nan,4609,0.0044958163,0.034108352,8.47821,-0.0019858615,424.92212,-0.0005042552947998047,2,4096,114.39342133142054,524288
5001.0,-8699.31609364,4572,0.0025558225,0.010631561,8.45705,-0.0004921785,1056.9465,-0.00013244152069091797,3,6144,171.72167697641999,786432
4957.46,-8632.61869149,4543,0.0024053059,0.007316208,8.4239025,-0.0005090056,2754.7874,-0.00026547908782958984,4,8192,229.41561956703663,1048576
5001.0,-17588.740967960002,4606,0.002249432,0.0073745726,8.420742,-0.00046932866,4472.3945,-0.0006394386291503906,5,10240,286.33125715050846,1310720
4938.39,-17159.070730900003,4538,0.0027833278,0.011873245,8.40917,-0.0007037354,1603.2369,0.00040602684020996094,6,12288,344.096533767879,1572864
4837.72,-16808.957102120003,4443,0.0021699932,0.006666565,8.389242,-0.00063710334,2995.572,3.248453140258789e-05,7,14336,403.09734923765063,1835008
5001.0,-15222.80246745,4454,0.0024313051,0.009531403,8.366136,-0.00067806646,2223.6086,0.0005385279655456543,8,16384,461.9435891350731,2097152
4699.22,-14264.300851629998,4342,0.0021954523,0.008168411,8.357884,-0.0006484833,3091.341,0.0003409385681152344,9,18432,522.3145815152675,2359296
4959.63,-16630.44657864,4329,0.0022158173,0.007688141,8.34083,-0.0006179112,2973.1519,0.0011385083198547363,10,20480,582.8710098396987,2621440
4887.21,-16079.80337008,4383,0.0030163997,0.01366806,8.308336,-0.0008006948,2241.1138,0.0017455816268920898,11,22528,642.6821409612894,2883584
4662.07,-14812.704729579998,4210,0.0024259402,0.009486389,8.279115,-0.0007637803,2604.0542,0.0021671652793884277,12,24576,704.9433869170025,3145728
4836.76,-14011.6462249,4404,0.0020662302,0.007238388,8.267801,-0.0005762562,2364.9248,0.003052234649658203,13,26624,764.4570248154923,3407872
4735.1,-14638.91356261,4235,0.002841611,0.01345787,8.251356,-0.00078298745,2945.1802,0.0044283270835876465,14,28672,826.3549762815237,3670016
4884.65,-14364.72531215,4272,0.0020932013,0.0071609495,8.231127,-0.00047647994,2274.194,0.009042024612426758,15,30720,887.7093534823507,3932160
4739.52,-14126.843636210002,4246,0.0025788287,0.009943771,8.199231,-0.00061668153,2955.323,0.007284283638000488,16,32768,949.4379575680941,4194304
4604.05,-14387.45988016,4170,0.0026548856,0.012633133,8.185521,-0.00044226,29658.834,0.0002791881561279297,17,34816,1012.2918309466913,4456448
4846.57,-15137.865609429999,4258,0.0024336504,0.010376739,8.171386,-0.0007834807,1897.2874,0.010727405548095703,18,36864,1073.857176873833,4718592
4717.66,-14084.37265003,4100,0.0028219656,0.013731766,8.135272,-0.0007329453,1790.277,0.010964572429656982,19,38912,1137.7911457484588,4980736
4722.9,-13000.54355748,4226,0.0024863589,0.011168289,8.114284,-0.00050048984,2169.2812,0.010065138339996338,20,40960,1199.8138042613864,5242880
4490.02,-12362.30015008,4050,0.0020933659,0.008158493,8.103798,-0.00065198017,2335.1577,0.014650464057922363,21,43008,1264.533825933002,5505024
4772.58,-14512.943265740001,4095,0.0026948408,0.011798477,8.057276,-0.00070303574,2056.6016,0.014530658721923828,22,45056,1328.5474245334044,5767168
4678.22,-14413.742452810002,4165,0.0027251707,0.012085724,8.0161085,-0.00076618535,1902.0172,0.011144042015075684,23,47104,1391.4786691050977,6029312
4426.5,-12678.73676812,4025,0.0027859183,0.015061188,8.001317,-0.00070639874,2747.9053,0.005095541477203369,24,49152,1456.5990122351795,6291456
4658.72,-12236.595804479999,4102,0.0019506114,0.00616951,7.992381,-0.00047978928,1963.9727,0.01284182071685791,25,51200,1520.5052493130788,6553600
4481.32,-12887.897344079998,3893,0.0019014142,0.0059207915,7.980403,-0.00055567955,4875.208,0.002801358699798584,26,53248,1587.8312205327675,6815744
4714.91,-14847.54829282,4067,0.0023270338,0.01128273,7.974852,-0.00061292585,2199.0574,0.014735221862792969,27,55296,1652.2865845086053,7077888
4680.48,-14200.018872889998,3869,0.0022443102,0.008625412,7.963426,-0.000568228,2693.8818,0.012688636779785156,28,57344,1720.0411823950708,7340032
4436.32,-13856.88411278,3908,0.0024286518,0.010321045,7.9508376,-0.0004945505,2818.7805,0.013774991035461426,29,59392,1787.123068378307,7602176
4569.92,-14583.99291626,3993,0.0026554232,0.013615799,7.9392023,-0.0005703025,3098.8843,0.009840905666351318,30,61440,1852.7670115977526,7864320
4715.55,-17295.6858927,3849,0.0022633008,0.0077049257,7.9261794,-0.0004346207,3469.9058,0.009610235691070557,31,63488,1920.874406256713,8126464
4567.43,-15691.27331451,3929,0.0028216434,0.013694763,7.886898,-0.00056148827,1951.3313,0.01773369312286377,32,65536,1987.5877190800384,8388608
4368.09,-12848.00773542,3834,0.0026302764,0.01250534,7.862957,-0.00057110994,2005.1975,0.012142419815063477,33,67584,2055.963212198578,8650752
4335.92,-12937.90167811,3853,0.0023594159,0.010029984,7.856698,-0.0005023566,2891.0422,0.01177901029586792,34,69632,2124.001081874594,8912896
4377.22,-14966.38623255,3766,0.0021969597,0.009022904,7.853063,-0.00045870282,2718.6702,0.010942220687866211,35,71680,2193.599356160499,9175040
4204.73,-14580.031669160002,3852,0.0023496577,0.010217285,7.8528976,-0.00032529555,3063.0388,0.008177042007446289,36,73728,2261.6666650073603,9437184
